iter	MAE	RMSE
595	0.5253202693	0.713599935
596	0.525211157	0.7134091503
597	0.5250148167	0.7131638741
598	0.524904964	0.7130174989
599	0.5249054877	0.7130174222
600	0.5248692119	0.7129269283
601	0.5248043413	0.7128395938
602	0.5247228038	0.7127087878
603	0.5246260513	0.7125818056
604	0.5244538511	0.7123788967
605	0.5243240701	0.7122129811
606	0.5241278693	0.7120259951
607	0.5239888119	0.7117963665
608	0.52390888	0.7117173529
609	0.5237837869	0.7115426236
610	0.5235033983	0.7112375739
611	0.5234610797	0.7111599658
612	0.5233095763	0.7110399445
613	0.523179884	0.7108949231
614	0.523138907	0.7107785902
615	0.5230636125	0.7106393368
616	0.5229667512	0.7104992975
617	0.5228346468	0.7103571198
618	0.5228134475	0.7103452775
619	0.5227999963	0.7102665918
620	0.5227424815	0.7101490464
621	0.5227301203	0.7101345274
622	0.5226720889	0.7100149818
623	0.5226693834	0.7100133513
624	0.5226059046	0.7099289871
625	0.5224876952	0.7097620096
626	0.5224183108	0.7096667706
627	0.5222316686	0.7093719864
628	0.5221060895	0.7092180308
629	0.5220266783	0.70910955
630	0.521978648	0.7090296154
631	0.5218808114	0.7089507967
632	0.5217508032	0.7088009947
633	0.5216372419	0.7086586282
634	0.5215994186	0.7085814964
635	0.5215623512	0.7085400364
636	0.5215142708	0.7084742236
637	0.5214816316	0.7084278209
638	0.5214417225	0.7083820122
639	0.5212392021	0.7080845052
640	0.5211892875	0.7079785106
641	0.5211792444	0.7079563635
642	0.5210224153	0.7077571845
643	0.5208814231	0.7075635166
644	0.5206226878	0.7073034322
645	0.520479098	0.7071856332
646	0.5203797194	0.7070534565
647	0.520310572	0.7069940114
648	0.520232959	0.7069297272
649	0.5202053065	0.7069028783
650	0.5202056523	0.7069028443
651	0.5201013805	0.7067570677
652	0.5200309333	0.7066371617
653	0.5199521985	0.7065315754
654	0.5198381616	0.7063662414
655	0.5196945967	0.7061903373
656	0.519681903	0.7061720724
657	0.5196820214	0.7061713039
658	0.5194927895	0.7059038385
659	0.5194154833	0.7058452371
660	0.5192132703	0.7056510496
661	0.5191121108	0.7055032036
662	0.5190098671	0.7053471618
663	0.5189286237	0.7052520967
664	0.5187473684	0.705049376
665	0.5187051536	0.7049806794
666	0.5186542094	0.7049355244
667	0.5185479915	0.7047384114
668	0.5185007654	0.7046450414
669	0.5183953662	0.704472315
670	0.5182869101	0.7043531874
671	0.5181520928	0.7041807459
672	0.518103251	0.7041167415
673	0.5179991578	0.703952992
674	0.5178814079	0.7037785058
675	0.5178501533	0.7037386769
676	0.5176995008	0.7035146109
677	0.517562884	0.70336877
678	0.5174786183	0.7032831182
679	0.5174047445	0.7031779708
680	0.5173539654	0.7030403449
681	0.5172035111	0.7028910398
682	0.5171100155	0.702740863
683	0.5169804682	0.7025849131
684	0.5168712292	0.7024813219
685	0.5168375395	0.7024372428
686	0.5168192245	0.702405124
687	0.5167571459	0.7023064498
688	0.5165722708	0.7021002343
689	0.5164774403	0.7019977157
690	0.5163471336	0.7018443379
691	0.5163475272	0.7018443019
692	0.5163417161	0.701827426
693	0.51631288	0.7017487656
694	0.5161772421	0.7015708977
695	0.5160948015	0.7014225563
696	0.5160952252	0.7014225218
697	0.5160027453	0.7012959039
698	0.515894472	0.7011908374
699	0.5158108459	0.7010181762
700	0.5157046536	0.7008687119
701	0.5156463168	0.7007221578
702	0.5154721965	0.7005265813
703	0.5154150603	0.7004542317
